From Lee, Herbst, Pineau des Forets, Roueff, Le Bourlot
A&A 1996, 311, 690

H2 self-shielding

 N(H2)       Theta[N(H2)]

 1.000Q-03   9.887Q-01
 1.086Q-03   9.877Q-01
 2.171Q-03   9.755Q-01
 3.257Q-03   9.638Q-01
 4.343Q-03   9.524Q-01
 5.429Q-03   9.413Q-01
 6.514Q-03   9.306Q-01
 7.600Q-03   9.202Q-01
 8.686Q-03   9.101Q-01
 1.000Q-02   8.983Q-01
 1.086Q-02   8.908Q-01
 2.171Q-02   8.081Q-01
 3.257Q-02   7.422Q-01
 4.343Q-02   6.875Q-01
 5.429Q-02   6.404Q-01
 6.514Q-02   5.990Q-01
 7.600Q-02   5.620Q-01
 8.686Q-02   5.284Q-01
 1.000Q-01   4.916Q-01
 1.086Q-01   4.696Q-01
 2.171Q-01   2.757Q-01
 3.257Q-01   1.705Q-01
 4.343Q-01   1.084Q-01
 5.429Q-01   7.013Q-02
 6.514Q-01   4.593Q-02
 7.600Q-01   3.037Q-02
 8.686Q-01   2.023Q-02
 1.000Q+00   1.247Q-02
 1.086Q+00   9.130Q-03
 2.171Q+00   2.133Q-04
 3.257Q+00   6.269Q-06
 4.343Q+00   2.108Q-07
 5.429Q+00   7.633Q-09
 6.514Q+00   2.873Q-10
 7.600Q+00   1.102Q-11
 8.686Q+00   4.273Q-13
 1.000Q+01   8.412Q-15
 1.086Q+01   6.510Q-16
 3.000Q+01   1.000Q-60
